$\beta$,Q,L,index,Mean inventory per demand unit,Mean inventory,FR,Mean cost,Mean cost per demand unit,Rank costs,Rank inventory
0.95,25000,1,1,0.005594370806441246,12.9366087535969,0.9508743034344638,319118.4617172452,87.13183456426715,2.804123711340206,3.768041237113402
0.95,25000,1,2,0.005509318803793265,15.23649893324457,0.949060035324255,327940.9162850957,85.60159590877154,4.268041237113402,4.041237113402062
0.95,25000,1,3,0.005902959677370576,12.29594096285996,0.9547425049523368,352538.4338296372,100.1119066560884,4.742268041237113,3.77319587628866
0.95,25000,1,4a,0.01066351725067111,33.09379562856276,0.9499847326466035,488179.7750484418,127.6446357518134,6.77319587628866,5.350515463917525
0.95,25000,1,5,0.004942107570737808,12.03632959648493,0.949484715542479,323250.8558194443,85.71296266434264,4.164948453608248,3.701030927835052
0.95,25000,1,6,0.005861362497856754,14.18440621020669,0.9504237470573994,320416.4394742857,86.84207817848869,2.762886597938144,3.721649484536083
0.95,25000,1,7,0.004658434992966357,11.2046773983326,0.9509787099308891,314532.8642064744,84.31337173688988,2.484536082474227,3.644329896907216
0.95,25000,2,1,0.01645188647065038,92.77732743538036,0.9536782441731726,924857.4804546996,128.7083673699702,3.88659793814433,4.319587628865979
0.95,25000,2,2,0.01436560380052435,86.43730924870172,0.9484424630186351,963922.7670204516,127.303048482067,4.948453608247423,4.458762886597938
0.95,25000,2,3,0.01654695399579923,87.0515357556797,0.9564520912598554,1054307.838596857,145.7619890752691,5.103092783505154,4.324742268041237
0.95,25000,2,4a,0.00758188708369334,48.76720349651145,0.954011146837794,771729.9741791695,98.68694881611597,3.752577319587629,3.711340206185567
0.95,25000,2,5,0.01481665327233694,86.16367762715281,0.950257962988966,924694.7911456592,124.9314326620406,4.608247422680412,4.015463917525773
0.95,25000,2,6,0.01464034897329772,85.57737847271223,0.9511731580034065,900363.0503161681,122.0198900008608,3.34020618556701,3.850515463917526
0.95,25000,2,7,0.01225561677519529,69.54339426323988,0.9527992714900166,832831.3830101342,112.2758169816446,2.360824742268041,3.31958762886598
0.975,25000,1,1,0.02418379390804447,63.47622088985315,0.9770997153171092,297694.2462904442,83.51217312937442,3.371134020618557,3.943298969072165
0.975,25000,1,2,0.02099309814363884,58.61757321709381,0.97497311511238,295818.6106959433,78.73319165616002,3.824742268041237,3.798969072164948
0.975,25000,1,3,0.02555161785653002,64.46476396944495,0.978581829541424,325372.0926282702,91.74662235594512,4.670103092783505,4.175257731958763
0.975,25000,1,4a,0.02986517898631709,95.43970748220794,0.9754180596133066,435027.9556292791,111.1669459684494,6.721649484536083,6.293814432989691
0.975,25000,1,5,0.02145136625816665,57.20801471256286,0.9753026069039361,293521.8084241374,79.25968120876377,3.721649484536083,3.252577319587629
0.975,25000,1,6,0.02233085766029885,61.16549845511737,0.9754214080529274,287861.1328975777,78.49341103730114,2.556701030927835,3.046391752577319
0.975,25000,1,7,0.0210160087570196,56.61829865671829,0.9765372023354201,289159.1486443361,78.41778034349316,3.134020618556701,3.489690721649485
0.975,25000,2,1,0.04955936071376488,285.3022286023522,0.9800735661642344,814030.262989325,116.389468787168,4.505154639175258,5.010309278350515
0.975,25000,2,2,0.03468875990115143,210.0058110925954,0.972549370587367,821976.5746476514,108.5009440353959,4.56701030927835,3.546391752577319
0.975,25000,2,3,0.04311683767699533,249.6237018491113,0.9756989471463211,918485.2213029813,123.1867488099985,4.876288659793815,4.144329896907217
0.975,25000,2,4a,0.02510604797309875,170.3418021608207,0.9798316673015209,692865.8884509566,88.1936858050302,3.752577319587629,4.041237113402062
0.975,25000,2,5,0.04367040116332656,257.5168334555785,0.9770509178739503,792492.8247329048,109.7099697547185,4.298969072164948,4.06701030927835
0.975,25000,2,6,0.03702300621196033,225.6737455865931,0.9759320343024993,745153.1726441476,100.909108696467,3.443298969072165,3.634020618556701
0.975,25000,2,7,0.03434516765089842,203.9886323722206,0.9780196327527404,705449.6384142828,95.64182315689182,2.556701030927835,3.556701030927835
0.99,25000,1,1,0.08934358747373031,247.4898299554914,0.992748408336923,242545.6707739189,70.36192817562608,4.329896907216495,4.896907216494846
0.99,25000,1,2,0.06834673968928262,197.373705223197,0.9904635740796675,236649.6722454566,63.35932081715008,3.309278350515464,2.943298969072165
0.99,25000,1,3,0.07612551486751662,217.0663361786611,0.99084796168513,266854.9527880598,70.3128334291031,4.185567010309279,3.989690721649485
