$\beta$,Q,L,index,Mean inventory per demand unit,Mean inventory,FR,Mean cost,Mean cost per demand unit,Rank costs,Rank inventory
0.99,50000,2,2,0.01816911246243104,153.8890580717134,0.9888818776252424,510791.0525306091,53.0933170438427,4.397058823529412,3.801470588235294
0.99,50000,2,3,0.02553295352735108,207.6117539781979,0.9902288696373747,586200.8221850016,61.62241118912659,4.441176470588236,4.470588235294118
0.99,50000,2,4a,0.006763808465536253,57.30026685178203,0.9825814477326127,761653.9912349017,72.74965435197767,6.088235294117647,3.161764705882353
0.99,50000,2,5,0.02324135253646244,189.0827924272101,0.9907314996292153,478306.1146167372,51.57056290589232,3.75,4.382352941176471
0.99,50000,2,6,0.02134941930340996,177.4732925026456,0.990451172905311,463200.9181471854,49.46871979259461,3.058823529411764,4.073529411764706
0.99,50000,2,7,0.0166046709491245,135.9315487701758,0.989705113460596,449060.1441593507,46.582750840556,2.411764705882353,2.919117647058823
0.995,50000,1,1,0.03593670666967445,141.6723469819758,0.9960094947119796,164206.7932714524,35.21161952440508,4.323529411764706,5.154411764705882
0.995,50000,1,2,0.0267875748320002,110.9820169880027,0.9949617390745632,163453.2575132043,32.95393569609884,3.794117647058823,3.529411764705882
0.995,50000,1,3,0.0327787473813537,134.941848134536,0.9955037417330674,180834.9913697836,36.95706577635978,4.838235294117647,4.669117647058823
0.995,50000,1,4a,0.02169292560348574,92.70142622919735,0.9945268805918753,196966.4664078324,37.31512088541007,5.647058823529412,4.205882352941177
0.995,50000,1,5,0.03186932204596902,127.5618676942631,0.9954311863377077,159925.9959435028,33.56110144536489,3.691176470588236,3.882352941176471
0.995,50000,1,6,0.02971703783646019,121.219512764423,0.9951996998511103,152435.9366349936,32.0735779056198,2.852941176470588,3.220588235294118
0.995,50000,1,7,0.02743960026477054,111.4261725187991,0.9954738636623162,155786.8242132982,31.93573648681838,2.852941176470588,3.338235294117647
0.995,50000,2,1,0.05592691629430097,451.4405688771849,0.9965495991338668,388974.4865352925,42.90904175407803,4.073529411764706,5.588235294117647
0.995,50000,2,2,0.03611702009290446,310.424656376547,0.9936742550014979,404821.3132888263,42.28787159729352,4.176470588235294,3.448529411764706
0.995,50000,2,3,0.04378827183861166,365.4695739781499,0.993585551405711,454904.0962032747,47.89778003806156,4.661764705882353,3.786764705882353
0.995,50000,2,4a,0.01661298797084965,145.5188500840981,0.9885183069938457,645334.6936450801,61.55065389892847,6.161764705882353,3.0
0.995,50000,2,5,0.05319487024634063,431.0769390000761,0.99600194984779,378641.316100103,41.64646449178831,3.735294117647059,5.058823529411764
0.995,50000,2,6,0.041566196658857,349.9764874964452,0.995222473195908,348032.73719215,37.23033168529155,2.867647058823529,3.948529411764706
0.995,50000,2,7,0.03590180986849529,297.236661616889,0.994826979616807,340557.0941794398,35.62498359050936,2.323529411764706,3.169117647058823
0.95,50000,1,4,0.0,0.0,0.9440250519395738,326542.7048134922,58.10984755570266,6.176470588235294,3.948529411764706
0.95,50000,2,4,1.799172943254695e-05,0.1146073164853241,0.9418237040193167,673179.0168541446,66.36187466945455,4.823529411764706,3.683823529411764
0.975,50000,1,4,2.335886312878168e-05,0.07227414150930839,0.9692588287786269,317299.8728837293,56.72386122246911,6.279411764705882,3.647058823529412
0.975,50000,2,4,0.0005905719136434786,4.203930876595704,0.966984779947465,659941.052891425,64.92389777894967,4.911764705882353,2.845588235294118
0.99,50000,1,4,0.002647513907639512,9.194324241362029,0.9851590929410776,279090.9492912593,50.27851166467973,6.088235294117647,2.264705882352941
0.99,50000,2,4,0.003203477893265805,27.15973042382349,0.9828556174633398,596313.0071913687,58.20874778242268,5.044117647058823,1.566176470588235
0.995,50000,1,4,0.008741037290562987,33.03745156545251,0.9915463849981159,229311.5711263431,41.4772250705995,5.676470588235294,1.448529411764706
0.995,50000,2,4,0.008093304101724787,74.65856434726345,0.9891769594677953,507158.8020688647,48.89476338403303,4.926470588235294,1.477941176470588
